Month,Year,CPI_Inflation_Rate (%)
January,2013,1.7
February,2013,1.5
March,2013,1.4
April,2013,1.2
May,2013,1.5
June,2013,1.8
July,2013,1.9
August,2013,1.5
September,2013,1.4
October,2013,1.2
November,2013,1.3
December,2013,1.4
January,2014,1.3
February,2014,1.0
March,2014,1.0
April,2014,1.3
May,2014,0.9
June,2014,1.0
July,2014,0.8
August,2014,0.8
September,2014,0.8
October,2014,0.8
November,2014,0.6
December,2014,0.2
January,2015,0.1
February,2015,0.1
March,2015,0.3
April,2015,0.5
May,2015,0.7
June,2015,0.3
July,2015,0.2
August,2015,0.2
September,2015,0.0
October,2015,0.3
November,2015,0.4
December,2015,0.3
