,Coefficient,P-Value
const,215.75029651158198,1.6159975308736076e-266
Promo,2462.0393207684765,0.0
SchoolHoliday,242.73778738299345,0.0
CompetitionDistance,-35.74391318096626,4.068413786760291e-78
Promo2,-98.70989539658183,1.6212967808184445e-141
CPI,133.4363144437345,1.7865354095235359e-140
UnemploymentRate,-135.00949742279278,8.552751286298314e-137
GDPGrowthRate,-11.62971872748938,1.8691564206026994e-07
SalesLag7,0.1659915299537996,0.0
SalesLag1,-0.05708481666076561,0.0
SalesRoll7,0.8450751750104774,0.0
